ID,PUB?,LS,,KLA,Stage,Syllabus,Pages,OLD (NESA) URL,NEW (CUR) URL,Code,Pub,Syllabus code,Outcomes code,WBS,Jira,Consultation 21/665,"Approval draft/forms
21/664","MASTER
21/663","Online
assets
21/896",Publish (CAP),Count,Comment,Backend Comment
001,YES,MS,MANDALECTIVES,LANG,K–10,Aboriginal Languages K–10 (2022),133,https://educationstandards.nsw.edu.au/wps/portal/nesa/k-10/learning-areas/languages/aboriginal-languages-K-10-syllabus,https://curriculum.nsw.edu.au/learning-areas/languages/aboriginal-languages-k-10-2022,ABORIGINAL-LANG,2022,ABORIGINAL-LANG-K–10-2022,AL,WBS,OC-47,SUB21/11422,--,SUB21/14417,SUB19/2173,17 Oct 2022,YES,--,
002,NO,MS,--,HSIE,11–12,Aboriginal Studies 11–12,--,https://educationstandards.nsw.edu.au/wps/portal/nesa/11-12/stage-6-learning-areas/hsie/aboriginal-studies,--,ABORIGINAL,2023,ABORIGINAL-11–12-2023,AS,WBS,OC-2272,--,--,--,--,??,YES,--,
003,NO,MS,ELECTIVE (5),HSIE,7–10,Aboriginal Studies 7–10,--,https://educationstandards.nsw.edu.au/wps/portal/nesa/k-10/learning-areas/hsie/aboriginal-studies-7-10-2020,--,ABORIGINAL,2023,ABORIGINAL-7–10-2023,AS,WBS,OC-154,--,--,--,--,Q3/2023,YES,--,
004,NO,LS,--,HSIE,11–12,Aboriginal Studies Life Skills 11–12,--,https://educationstandards.nsw.edu.au/wps/portal/nesa/11-12/stage-6-learning-areas/hsie/hsie-life-skills-courses/aboriginal-studies-life-skills-course,--,ABORIGINAL-LS,2023,ABORIGINAL-LS-11–12-2023,AS,--,OC-2260,--,--,--,--,??,YES,--,
005,NO,MS,ELECTIVE (5),TAS,7–10,Agricultural Technology 7–10,--,https://educationstandards.nsw.edu.au/wps/portal/nesa/k-10/learning-areas/technologies/agricultural-technology-2019,--,AGRICULTURAL-TECH,2023,AGRICULTURAL-TECH-7–10-2023,??,WBS,OC-2261,,,,,??,YES,,
006,NO,MS,--,TAS,11–12,Agriculture 11–12,--,https://educationstandards.nsw.edu.au/wps/portal/nesa/11-12/stage-6-learning-areas/technologies/agriculture-syllabus,--,AGRICULTURE,2023,AGRICULTURE-11–12-2023,AG,--,OC-2262,--,--,--,--,??,YES,--,
007,NO,LS,--,TAS,11–12,Agriculture Life Skills 11–12,--,https://educationstandards.nsw.edu.au/wps/portal/nesa/11-12/stage-6-learning-areas/technologies/technology-life-skills-courses/agriculture-life-skills,--,AGRICULTURE-LS,2023,AGRICULTURE-LS-11–12-2023,AG,--,OC-2263,--,--,--,--,??,YES,--,
008,NO,MS,--,HSIE,11–12,Ancient History 11–12,--,https://educationstandards.nsw.edu.au/wps/portal/nesa/11-12/stage-6-learning-areas/hsie/ancient-history-2017,--,ANCIENT,2023,ANCIENT-11–12-2023,AH,WBS,OC-158,--,--,--,--,Q4/2023,YES,--,
009,NO,LS,--,HSIE,11–12,Ancient History Life Skills 11–12,--,https://educationstandards.nsw.edu.au/wps/portal/nesa/11-12/stage-6-learning-areas/hsie/hsie-life-skills-courses/ancient-history-life-skills-2017,--,ANCIENT-LS,2023,ANCIENT-LS-11–12-2023,AH,WBS,OC-159,--,--,--,--,Q4/2023,YES,--,
010,YES,MS,MANDALECTIVES,LANG,K–10,Auslan K–10,72,https://educationstandards.nsw.edu.au/wps/portal/nesa/k-10/learning-areas/languages,https://curriculum.nsw.edu.au/learning-areas/languages/auslan-k-10-2023,AUSLAN,2023,AUSLAN-K–10-2023,AU,WBS,OC-119,SUB22/2078,--,SUB21/14416,SUB23/1273,22 Aug 2023,YES,--,
011,NO,MS,--,SCI,11–12,Biology 11–12,--,https://educationstandards.nsw.edu.au/wps/portal/nesa/11-12/stage-6-learning-areas/stage-6-science/biology-2017,--,BIOLOGY,2023,BIOLOGY-11–12-2023,BI,--,OC-2264,--,--,--,--,??,YES,--,
012,NO,LS,--,HSIE,11–12,Business and Economics Life Skills 11–12,--,https://educationstandards.nsw.edu.au/wps/portal/nesa/11-12/stage-6-learning-areas/hsie/hsie-life-skills-courses/business-and-economics-life-skills,--,BUSINESS-LS,2023,BUSINESS-LS-11–12-2023,BE,--,OC-2265,--,--,--,--,??,YES,--,
013,NO,MS,--,HSIE,11–12,Business Studies 11–12,--,https://educationstandards.nsw.edu.au/wps/portal/nesa/11-12/stage-6-learning-areas/hsie/business-studies,--,BUSINESS,2023,BUSINESS-11–12-2023,BS,--,OC-2266,--,--,--,--,??,YES,--,
014,NO,LS,--,SCI,11–12,Chemical World Science Life Skills 11–12,--,https://educationstandards.nsw.edu.au/wps/portal/nesa/11-12/stage-6-learning-areas/stage-6-science/chemical-world-science-life-skills-2017,--,CHEMICAL-LS,2023,CHEMICAL-LS-11–12-2023,CH,--,OC-2267,--,--,--,--,??,YES,--,
015,NO,MS,--,SCI,11–12,Chemistry 11–12,--,https://educationstandards.nsw.edu.au/wps/portal/nesa/11-12/stage-6-learning-areas/stage-6-science/chemistry-2017,--,CHEMISTRY,2023,CHEMISTRY-11–12-2023,CH,--,OC-2268,--,--,--,--,??,YES,--,
016,NO,MS,ELECTIVE (5),PDHPE,7–10,Child Studies 7–10,--,https://educationstandards.nsw.edu.au/wps/portal/nesa/k-10/learning-areas/pdhpe/child-studies-7-10-2019,--,CHILD,2023,CHILD-7–10-2023,CI,--,OC-232,--,--,--,--,??,YES,--,
017,YES,MS,MANDALECTIVES,LANG,K–10,Classical Languages K–10 (2022),35,https://educationstandards.nsw.edu.au/wps/portal/nesa/k-10/learning-areas/languages,https://curriculum.nsw.edu.au/learning-areas/languages/classical-languages-k-10-2022,CLASSICAL,2022,CLASSICAL-K–10-2022,CL,WBS,OC-57,SUB22/2080,--,SUB21/14414,SUB22/20678,21 Nov 2022,YES,--,
